system:index,area_km2,count,label,label2024,latitude,longitude,year,.geo
7_00000000000000000511_5_0000000000000000034d,8.642703184993422E-4,1,814033741686626,7_00000000000000000511,76.08074687301055,102.15704293053354,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000511_5_0000000000000000022b,0.01382466126969013,16,814033741686626,7_00000000000000000511,76.08142059128936,102.15468488597361,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000511_6_00000000000000000442,0.0025921733377115455,3,814033741686626,7_00000000000000000511,76.08110615698862,102.1575818841245,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000511_6_00000000000000000304,0.014688743804443849,17,814033741686626,7_00000000000000000511,76.08144437310408,102.15472847520559,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000511_7_00000000000000000511,0.0025921733377115455,3,814033741686626,7_00000000000000000511,76.08110615698862,102.1575818841245,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000511_7_000000000000000003bb,0.06652562838828076,77,814033741686626,7_00000000000000000511,76.08246183478683,102.15075721962795,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005b1_6_000000000000000004db,0.020733233998812675,24,816559182456677,7_000000000000000005b1,76.0832621421874,102.47410337252563,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005b1_7_000000000000000005b1,0.0025918137782558206,3,816593542195044,7_000000000000000005b1,76.08182482535105,102.47774142826887,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005b1_7_000000000000000005b0,0.031099468814253645,36,816572067358564,7_000000000000000005b1,76.0832022327176,102.47465726075679,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000669_7_00000000000000000669,0.0025582519917326614,3,827880716249274,7_00000000000000000669,76.2661591393735,103.89420501797053,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000018_7_00000000000000000018,0.0034542824702478857,4,789101456533357,7_00000000000000000018,76.08761897343365,99.02996253145727,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000018_7_0000000000000000003d,0.007773588050812798,9,789101456533357,7_00000000000000000018,76.08697519642917,99.02839038955675,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000018_7_00000000000000000019,0.011225988102257098,13,789131521304432,7_00000000000000000018,76.08870730121778,99.03231542157909,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000008e_3_00000000000000000008,0.0034251536621024824,4,796428670740556,7_0000000000000000008e,76.20848730891397,99.94422282568517,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
