system:index,B11,B12,B2,B3,B4,B8,B8A,latitude,longitude,ndvi,ndwi,slump,.geo
00000000000000004205,2460,1290,1216,1044,980,2227,2641,75.89242396720016,103.27731976267894,0.38883692,0.3616631,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000423b,2389,1321,1180,990,994,2050,2408,75.89242396720016,103.27731976267894,0.34691197,0.34868422,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002cbc,1139,640,1140,875,739,1167,1287,75.17093249855051,100.90710689322508,0.22455405,0.14299706,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001468,2287,1233,1157,1022,908,2390,2748,74.55493890172433,99.50746195906422,0.44936326,0.40093786,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001494,2354,1276,1170,1020,978,2436,2801,74.55493890172433,99.50746195906422,0.427065,0.4097222,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a0,2396,1304,1163,1020,1015,2312,2760,74.55493890172433,99.50746195906422,0.3898407,0.3877551,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004731,2649,1322,1194,1065,1015,2504,2894,74.2280823354057,101.6733989501587,0.4231316,0.40319416,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000289a,2485,1349,1149,962,934,1955,2254,76.0890926191624,101.43512242626674,0.3534095,0.34041825,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004d2c,2386,1136,1011,853,808,2760,3199,74.70237015985441,102.56863037315375,0.5470852,0.52781624,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004d50,2508,1243,1225,964,973,2234,2761,74.70237015985441,102.56863037315375,0.39320236,0.3971232,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000524c,2574,1350,1176,1041,955,2664,3039,74.9539080502793,103.71906952674067,0.4722299,0.43805668,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005269,2681,1385,1227,1060,1043,2602,3027,74.9539080502793,103.71906952674067,0.4277092,0.42108136,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003c88,2644,1272,1273,1127,1021,3117,3484,74.1816274206309,101.31050838822715,0.5065249,0.46889725,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003c91,2620,1269,1162,1040,947,2919,3418,74.1816274206309,101.31050838822715,0.51008797,0.4746148,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000459,2337,1423,1337,1094,1056,1760,2040,75.8119907023981,98.05132021455618,0.25,0.2333567,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f80,2283,1801,1480,1290,1301,1584,1746,76.75089010200956,103.35207659183997,0.098093584,0.10229645,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000451e,1300,942,1100,873,839,887,920,74.89156089935001,102.4233216471251,0.027809964,0.007954545,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112,2409,1754,1224,984,938,1151,1344,75.4737991012016,96.89841071898564,0.10196266,0.078220144,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,2217,1557,1132,898,836,1045,1223,75.4737991012016,96.89841071898564,0.11111111,0.075656205,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,2187,1569,1373,1078,988,1225,1405,75.4737991012016,96.89841071898564,0.107094444,0.06382979,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d,2222,1668,1170,933,883,1085,1233,75.4737991012016,96.89841071898564,0.102642275,0.0753221,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170,1651,1146,1166,840,803,848,1307,75.4737991012016,96.89841071898564,0.027256208,0.0047393367,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f,2099,1578,1154,920,848,1047,1240,75.4737991012016,96.89841071898564,0.10501319,0.06456533,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f,2366,1759,1241,1000,940,1173,1379,75.4737991012016,96.89841071898564,0.110269755,0.07961344,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000239d,2533,1426,1403,1192,1163,2316,2696,76.39821979969253,102.34086840954583,0.33141708,0.3204105,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000024de,2804,1476,1238,1053,1156,2488,3013,76.39821979969253,102.34086840954583,0.36553237,0.40525275,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a7,2546,1244,1083,956,843,2874,3353,74.2040121079192,98.84087540168562,0.5464084,0.50078326,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003cb1,2184,1362,1188,1020,990,1778,2045,74.03659515886757,100.63008078117868,0.2846821,0.2709078,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003cd2,2001,1295,1239,1053,1038,1682,1960,74.03659515886757,100.63008078117868,0.2367647,0.22998172,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e3b,3028,1525,1172,1030,1084,2609,3139,75.0118183956604,100.48915089238454,0.4129434,0.43391043,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000171c,1885,1007,1231,1012,928,2129,2435,76.88308015273896,101.86668314442134,0.39286882,0.35561922,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003df3,2110,1780,1378,1109,1046,1129,1306,76.65921990255282,103.6824201751824,0.03816092,0.0089365505,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
